Name,Botanical Name,Category,Container Size,Wholesale Price,Retail Price,Sun,Water,Native,Notes
Knockout Rose,Rosa x 'Radrazz',shrub,3-gal,$12.50,$28.00,Full Sun,Moderate,No,Repeat bloomer spring through fall
Indian Hawthorn,Rhaphiolepis indica,shrub,3-gal,$11.00,$24.00,Full Sun,Low,No,Compact evergreen with pink spring blooms
Gulf Muhly Grass,Muhlenbergia capillaris,ornamental_grass,1-gal,$6.50,$15.00,Full Sun,Low,Yes,Pink plumes in fall
Dwarf Yaupon Holly,Ilex vomitoria 'Nana',shrub,3-gal,$10.00,$22.00,Full Sun to Part Shade,Low,Yes,Evergreen mounding shrub
Japanese Boxwood,Buxus microphylla,shrub,3-gal,$13.00,$30.00,Part Shade,Moderate,No,Classic formal hedge plant
Pink Muhly Grass,Muhlenbergia capillaris 'Pink',ornamental_grass,3-gal,$9.00,$20.00,Full Sun,Low,Yes,Showy pink fall plumes
Cast Iron Plant,Aspidistra elatior,perennial,1-gal,$8.00,$18.00,Full Shade,Low,No,Extremely shade tolerant
Asian Jasmine,Trachelospermum asiaticum,groundcover,4-inch flat,$2.25,$5.50,Part Shade,Moderate,No,18-count flat - evergreen groundcover
Dwarf Mondo Grass,Ophiopogon japonicus 'Nanus',groundcover,4-inch flat,$2.50,$6.00,Part Shade to Shade,Moderate,No,18-count flat - low border grass
Pride of Houston Yaupon,Ilex vomitoria 'Pride of Houston',tree,15-gal,$45.00,$110.00,Full Sun,Low,Yes,Multi-trunk specimen tree
Live Oak,Quercus virginiana,tree,30-gal,$125.00,$295.00,Full Sun,Low,Yes,Classic Texas shade tree
Sago Palm,Cycas revoluta,shrub,5-gal,$22.00,$55.00,Full Sun to Part Shade,Low,No,Tropical accent plant
Crepe Myrtle - Tuscarora,Lagerstroemia 'Tuscarora',tree,15-gal,$40.00,$95.00,Full Sun,Low,No,Coral-pink summer flowers
Hardscape - Flagstone Walkway,,,sq_ft,$4.50,$18.00,,,No,Natural stone per square foot installed
Hardscape - Decomposed Granite,,,sq_ft,$1.75,$6.50,,,No,Compacted DG per square foot
Irrigation - Drip Zone,,,each,$35.00,$125.00,,,No,Per zone drip system install
Irrigation - Spray Head,,,each,$8.00,$28.00,,,No,Pop-up spray head with adjustment
Mulch - Hardwood 3" Depth,,,cu_yd,$28.00,$85.00,,,No,Native hardwood mulch installed
Soil Amendment - Expanded Shale,,,cu_yd,$32.00,$90.00,,,No,Improves drainage in clay soil
Bed Prep - New Bed Installation,,,sq_ft,$0.75,$3.50,,,No,Includes tilling and soil amendment
Landscape Lighting - Path Light,,,each,$45.00,$165.00,,,No,Low voltage LED path light installed
Landscape Lighting - Spot/Uplght,,,each,$55.00,$195.00,,,No,Low voltage LED accent light installed
Sod - St. Augustine Floratam,,,sq_ft,$0.35,$1.25,,,No,Installed with soil prep
Drainage - French Drain,,,linear_ft,$12.00,$38.00,,,No,4-inch perforated pipe with gravel
Cleanup - Debris Hauling,,,each,$75.00,$200.00,,,No,Per truck load disposal fee
